gene_name	BC_01	BC_02	BC_03	BC_03LN	BC_04	BC_05	BC_06	BC_07	BC_07LN	BC_08	BC_09	BC_10	BC_11
NUP107	3.18914593	4.05404636	3.94692568	4.3791794	3.64128138	4.13278034	3.70946609	3.75665263	4.18781486	4.19673764	3.62371407	3.84884356	4.19039827
SLC24A3	0.0484238	0.31897308	0.00162031	0.0	0.0	0.03157417	0.41290404	0.23716247	0.07433706	0.27002714	0.55187159	2.86864436	1.13841558
PPM1H	2.48541934	2.61485089	0.98652248	1.09939986	2.61908931	2.29068338	2.10076262	2.55763762	2.01691358	1.9678418	0.08127272	3.43142344	2.01611441
MICAL3	1.40288671	1.25112898	2.64208363	2.29099087	1.74349459	1.18459139	2.71829092	2.28051991	1.70454224	2.18736941	0.16169359	2.13689939	0.78845736
PRX	0.0	0.08453808	0.41479086	0.07443259	0.00101643	0.00298256	0.23111172	0.0	0.0	0.0	0.0	0.0	0.98377944
DNASE2B	2.49333259	0.0	0.0	0.0	0.0	0.0	0.01153324	0.0	0.0	0.0	0.0	0.0	0.0
SIGIRR	1.62167048	2.80871399	1.11034499	0.60013436	1.51158212	3.06185436	1.1329493	3.05274253	2.98320126	3.44306231	2.71393286	1.07158362	1.01851907
HRH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01174889
BACH2	0.0	0.0	2.81582941	2.93914268	2.13795027	0.64144369	0.57503909	0.85949211	2.41113486	2.14119085	0.0	0.00623055	0.0
FAM111A	3.06029483	4.55657625	3.60591638	4.53843191	2.83755088	4.7537458	3.33120401	3.87501725	3.72532055	3.36207985	4.52749509	3.65891948	4.11514194
TINAGL1	0.0	0.60382795	1.20799174	0.0386961	1.32157503	1.84542333	0.98954119	0.93139182	0.58442673	3.08646678	1.48315637	1.45541222	2.40144269
CARD9	0.00345556	0.21568725	0.0	0.00217944	0.0	1.29707275	0.12892078	1.10128844	0.01163022	0.2864857	0.30195473	0.27715814	0.0
MS4A6A	0.0	0.54915308	2.31702093	1.63538916	1.53591908	0.0	4.31687459	4.76078702	2.37437907	2.65155653	6.01644452	4.68651397	3.58452853
TPSB2	0.0	0.01083396	0.0	0.0	0.0	0.0	1.81528066	0.0	0.0	0.0	0.0	0.0	0.0
NDST4	0.0	0.0	2.35353509	1.24661423	4.57366028	0.0	0.0	0.00547518	0.00451808	0.00779562	0.0	0.0	0.0
BCL11B	0.0	0.0	1.48961902	1.55200139	0.15162934	0.41485809	0.94468381	0.92495894	0.85288867	0.17358788	1.26619615	0.0	0.72930376
SLC30A5	3.31724426	3.59118295	2.8551646	3.17711399	3.20853783	2.95530252	2.45345038	3.15323029	2.45124905	2.62954013	2.41638986	2.69580891	3.77332504
SLC26A6	2.53875117	1.15181447	0.0	1.78680784	0.83827422	1.05936733	1.86457613	2.83970893	0.60565541	0.66021967	1.81883407	0.01488861	1.19419791
ZNF747	0.94165854	0.722099	1.43643496	0.13707058	0.41379193	0.68362143	0.4797064	0.85508261	0.7368932	0.19991943	0.40901436	0.37715136	1.13608322
DDX50	3.30479943	2.5369794	2.98900701	3.27743972	2.04423142	2.87843208	1.74982575	3.06079455	3.6698553	3.77962389	3.42674058	1.77155676	2.42969821
MLPH	4.33202299	5.29993659	4.09448419	3.86018602	5.09012818	5.20369838	1.98061519	4.43452606	4.4726216	2.2898522	2.24428485	3.58080693	0.10189999
FCRL2	0.0	0.0	2.01936154	3.27194427	0.02626228	0.0	1.48867043	3.14917682	4.14982389	0.03208831	0.00116599	0.0	0.0
TCTN2	1.12978791	1.63729624	0.57949412	0.19227189	0.81588965	1.93390892	0.53836297	0.90231112	0.76905945	1.18065967	0.30220116	1.0634168	1.83867197
MYO15B	0.0	3.21157783	0.11742261	0.10632369	2.08375426	0.15199623	0.49494011	2.70616607	2.81983907	0.28419775	2.05587434	0.01303961	0.0
APOL3	0.19093817	1.16231341	2.08031953	2.03876158	1.97254972	0.06376712	1.25936967	0.17855631	2.69079527	1.52860504	3.50640289	0.02408267	3.02907913
COLEC12	0.28979522	0.38611238	0.0	0.0	0.58278359	0.05593833	0.0	0.66015799	0.79861146	1.48031913	0.78031827	0.0	0.0
LMAN2L	1.60457998	1.39721664	1.00122789	2.37466894	1.81917677	2.94444581	2.47912329	1.68414514	2.38157064	1.33385625	2.60702595	1.36241782	2.74037071
CRISPLD2	0.00537017	1.36677473	2.36923287	0.50594099	2.17625291	0.57544531	0.02566775	3.38367216	1.13243627	5.03375721	1.27959035	1.3130514	1.47932923
NCALD	1.59892127	3.21040433	2.59950143	3.05394972	3.90365931	1.47026541	1.5800503	2.81617161	2.07124769	3.20138461	3.03832869	3.49537055	2.93839203
PPP1R1B	0.0	0.52863046	0.20789271	1.70322627	6.00964739	6.46803484	3.953825	3.66319959	3.84698725	0.84773255	0.05132663	3.72510591	1.16768596
ZNF528	0.0	2.36431834	1.92334076	3.02939562	3.13311851	1.74743658	0.23775626	1.85684931	2.24030816	2.86730584	3.06050514	2.11028896	1.52269096
TXNDC17	5.36098695	5.21229543	5.39327122	5.46987897	7.19540943	6.06780761	5.46823228	5.08422222	5.39968123	4.88507207	5.24279056	5.11432692	5.74009979
LRP5L	2.27402733	1.58455957	2.735753	0.83827022	0.96543596	0.19383511	0.21672298	0.26372081	2.81022073	3.39794572	3.06512618	0.0	0.66782937
OSBPL10	1.77103334	2.67793458	2.88535922	2.87901458	2.9980178	2.91165166	2.50536266	2.16056963	3.29333198	2.92544975	0.72051913	2.23417241	2.09466597
KIR3DL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPCAT4	1.7349856	2.26934219	1.20726468	1.69957772	0.54054897	1.91056171	1.46695226	2.29033388	1.18985474	2.17894253	3.24893935	0.41128149	3.03521519
SGMS1	1.08297789	2.80748606	3.79984652	3.69950912	1.96407349	2.62801327	0.0	3.31296601	3.34222156	2.35653789	2.48343334	1.60706009	2.40628969
H19	0.0	0.0	0.2588237	0.0	5.77622821	1.85149753	0.0	0.0	2.53201826	1.99546902	0.01061018	0.0	0.18986876
FRYL	2.40364793	3.41455421	3.48401379	3.94518695	3.27579429	3.92028231	2.76324521	4.14881727	3.66357616	1.87826951	3.69757487	3.2466369	3.0570839
MSL1	2.52406572	2.15592711	3.83162753	3.55692085	5.34905881	6.14205025	3.65748166	2.91831113	2.02683159	3.55253666	3.39322121	2.79743376	2.76380022
ZNF710	0.75286642	0.4882513	1.25422907	1.48011583	4.61264725	2.27478669	1.14905189	1.38947557	2.00392474	1.72486068	1.64184056	0.00498754	0.01801851
